,基金公司,测度一,测度二,测度三,测度四,测度五,成交量,价差,IEI
0,华夏,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.8
1,南方,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0
2,富国,1.0,1.0,4.0,1.0,3.0,3.0,4.0,2.75
3,易方达,4.0,4.0,1.0,4.0,4.0,4.0,3.0,3.45
4,华泰柏瑞,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
