,基金公司,测度一,测度二,测度三,测度四,测度五,成交量,价差,IEI
0,华泰柏瑞,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.7
1,华夏,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.5
2,易方达,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.6
3,天弘,5.0,5.0,2.0,5.0,5.0,4.0,4.0,4.2
4,南方,3.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0
