,基金公司,测度一,测度二,测度三,测度四,测度五,成交量,价差,IEI
0,华夏,3.0,4.0,4.0,4.0,5.0,1.0,1.0,2.5
1,易方达,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.5
2,工银,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.5
3,华泰柏瑞,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.6
4,南方,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.9
