,基金公司,测度一,测度二,测度三,测度四,测度五,成交量,价差,IEI
0,华泰柏瑞,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.4
1,华夏,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.7
2,易方达,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.1
3,天弘,4.0,4.0,2.0,4.0,5.0,4.0,4.0,3.9
4,南方,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.9
