,基金公司,条件概率一,条件概率二,综合概率
0,华泰柏瑞,0.505,0.2237442922374429,0.33807588075880757
1,华夏,0.5916666666666667,0.2408675799086758,0.38346883468834686
2,易方达,0.4683333333333333,0.2511415525114155,0.3394308943089431
3,天弘,0.4483333333333333,0.3801369863013699,0.4078590785907859
4,南方,0.385,0.273972602739726,0.31910569105691056
