,基金公司,测度一,测度二,测度三,测度四,测度五,成交量,价差,IEI
0,华夏,4.0,5.0,5.0,5.0,5.0,1.0,1.0,2.9
1,易方达,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.7999999999999998
2,工银,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.2
3,华泰柏瑞,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.6
4,南方,5.0,4.0,3.0,4.0,4.0,5.0,5.0,4.5
